"","location","forecast_date","target_end_date","target_type","model","horizon","quantile_level","prediction","observed"
"149",1100015,2021-10-31,2021-11-30,"log_cases","GAM",1,0.9,2.10464287135117,0.693147180559945
"150",1100015,2021-10-31,2021-11-30,"log_cases","GAM",1,0.95,2.30207641853012,0.693147180559945
"151",1100015,2021-08-31,2021-11-30,"log_cases","GAM",3,0.05,3.2569342669604,0.693147180559945
"152",1100015,2021-08-31,2021-11-30,"log_cases","GAM",3,0.1,3.4561710169023,0.693147180559945
"153",1100015,2021-08-31,2021-11-30,"log_cases","GAM",3,0.5,4.17188835474875,0.693147180559945
"154",1100015,2021-08-31,2021-11-30,"log_cases","GAM",3,0.9,4.82702410426141,0.693147180559945
"155",1100015,2021-08-31,2021-11-30,"log_cases","GAM",3,0.95,5.02735297749036,0.693147180559945
"156",1100015,2021-05-31,2021-11-30,"log_cases","GAM",6,0.05,2.56699132569062,0.693147180559945
"157",1100015,2021-05-31,2021-11-30,"log_cases","GAM",6,0.1,2.72576622852496,0.693147180559945
"158",1100015,2021-05-31,2021-11-30,"log_cases","GAM",6,0.5,3.35833455027652,0.693147180559945
"159",1100015,2021-05-31,2021-11-30,"log_cases","GAM",6,0.9,4.01111165154994,0.693147180559945
"160",1100015,2021-05-31,2021-11-30,"log_cases","GAM",6,0.95,4.20932128911699,0.693147180559945
"161",1100015,2021-11-30,2021-12-31,"log_cases","GAM",1,0.05,-0.696039003264237,2.56494935746154
"162",1100015,2021-11-30,2021-12-31,"log_cases","GAM",1,0.1,-0.479953471257965,2.56494935746154
"163",1100015,2021-11-30,2021-12-31,"log_cases","GAM",1,0.5,0.19505040125812,2.56494935746154
"164",1100015,2021-11-30,2021-12-31,"log_cases","GAM",1,0.9,0.888726970232524,2.56494935746154
"165",1100015,2021-11-30,2021-12-31,"log_cases","GAM",1,0.95,1.03974898663438,2.56494935746154
"166",1100015,2021-09-30,2021-12-31,"log_cases","GAM",3,0.05,2.14706291255359,2.56494935746154
"167",1100015,2021-09-30,2021-12-31,"log_cases","GAM",3,0.1,2.33597875559417,2.56494935746154
"168",1100015,2021-09-30,2021-12-31,"log_cases","GAM",3,0.5,3.01076466655744,2.56494935746154
"169",1100015,2021-09-30,2021-12-31,"log_cases","GAM",3,0.9,3.76171430307227,2.56494935746154
"170",1100015,2021-09-30,2021-12-31,"log_cases","GAM",3,0.95,3.98858971056939,2.56494935746154
"171",1100015,2021-06-30,2021-12-31,"log_cases","GAM",6,0.05,4.04797467849868,2.56494935746154
